                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.73764,                0.43649,                 1.2681,                0.95909,                0.97319,                0.96237,                0.80728,                0.64689,                0.42759,                 1.0594,              0.0013268,              0.0013268,              0.0013268
                     36,                0.74039,                0.44508,                 1.2709,                0.95948,                0.97195,                0.95814,                0.80128,                0.68102,                0.40343,                 1.0731,               0.001307,               0.001307,               0.001307
                     37,                0.71938,                0.43021,                 1.2619,                0.95934,                0.96864,                0.96244,                0.80916,                0.63601,                0.39459,                 1.0631,              0.0012872,              0.0012872,              0.0012872
                     38,                0.72762,                0.42581,                 1.2587,                0.95558,                 0.9725,                0.96432,                0.81636,                0.63932,                0.39608,                 1.0742,              0.0012674,              0.0012674,              0.0012674
                     39,                0.72153,                0.42861,                 1.2584,                0.95686,                0.97198,                0.96323,                  0.804,                 0.6714,                0.43689,                 1.1133,              0.0012476,              0.0012476,              0.0012476
                     40,                0.72146,                0.42791,                 1.2589,                0.95608,                0.97186,                0.96372,                0.80606,                0.66053,                0.37318,                 1.0901,              0.0012278,              0.0012278,              0.0012278
                     41,                0.71804,                0.42436,                 1.2563,                 0.9604,                0.97318,                0.96827,                0.82586,                0.62162,                 0.3707,                 1.0536,               0.001208,               0.001208,               0.001208
                     42,                0.71109,                0.42685,                 1.2513,                0.96001,                 0.9743,                0.96638,                0.83272,                0.60451,                0.36383,                 1.0424,              0.0011882,              0.0011882,              0.0011882
                     43,                0.69982,                0.40995,                 1.2438,                0.95782,                0.97413,                0.96371,                0.82129,                0.61831,                0.40458,                 1.0607,              0.0011684,              0.0011684,              0.0011684
                     44,                0.70554,                 0.4145,                 1.2429,                0.95966,                0.96725,                0.96383,                0.81489,                0.63977,                0.43146,                 1.0425,              0.0011486,              0.0011486,              0.0011486
                     45,                0.71712,                0.42537,                 1.2528,                0.95181,                0.96679,                 0.9561,                 0.8011,                0.68281,                0.46563,                 1.0877,              0.0011288,              0.0011288,              0.0011288
                     46,                0.70939,                0.42343,                 1.2542,                0.95687,                0.97223,                0.96294,                0.82199,                 0.6102,                0.37691,                 1.0418,               0.001109,               0.001109,               0.001109
                     47,                 0.7007,                 0.4199,                 1.2458,                  0.962,                 0.9691,                0.96599,                0.82049,                0.64947,                0.35611,                 1.0666,              0.0010892,              0.0010892,              0.0010892
                     48,                0.68791,                0.41172,                 1.2387,                0.96221,                0.97486,                0.96406,                0.82933,                0.59928,                0.37099,                 1.0345,              0.0010694,              0.0010694,              0.0010694
                     49,                0.69622,                0.40899,                 1.2387,                0.95797,                0.97762,                0.96467,                0.82529,                0.61195,                0.36057,                 1.0361,              0.0010496,              0.0010496,              0.0010496
                     50,                0.69341,                0.40408,                 1.2425,                0.95701,                0.97463,                0.96731,                0.83035,                0.59065,                0.36811,                 1.0278,              0.0010298,              0.0010298,              0.0010298
                     51,                0.68598,                0.41186,                  1.226,                0.95904,                0.97188,                0.96756,                0.82771,                0.59754,                0.36548,                 1.0255,                0.00101,                0.00101,                0.00101
                     52,                0.68935,                0.40423,                 1.2376,                0.96188,                 0.9776,                0.96803,                 0.8373,                0.59788,                0.35978,                 1.0312,              0.0009902,              0.0009902,              0.0009902
                     53,                0.67364,                0.39728,                 1.2261,                0.96019,                0.97892,                0.96503,                 0.8291,                 0.5957,                0.36105,                 1.0333,              0.0009704,              0.0009704,              0.0009704
                     54,                0.68145,                0.40586,                 1.2335,                 0.9559,                0.97971,                0.96504,                0.83137,                0.59607,                0.35745,                 1.0247,              0.0009506,              0.0009506,              0.0009506
                     55,                0.67981,                0.40104,                 1.2288,                 0.9611,                 0.9774,                0.96569,                0.83442,                0.59022,                0.35395,                  1.018,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.6754,                0.40011,                 1.2279,                0.96147,                0.97831,                0.96631,                0.83392,                0.59124,                 0.3705,                 1.0255,               0.000911,               0.000911,               0.000911
                     57,                0.67636,                0.39153,                 1.2303,                0.96053,                0.97878,                0.96405,                0.83497,                0.59411,                0.35514,                  1.027,              0.0008912,              0.0008912,              0.0008912
                     58,                0.67311,                0.39785,                 1.2256,                0.95895,                0.98053,                0.96455,                0.83344,                0.59033,                0.36359,                 1.0227,              0.0008714,              0.0008714,              0.0008714
