                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.71905,                0.42879,                 1.2589,                0.96143,                0.97417,                0.96086,                0.81183,                0.64329,                0.39913,                  1.055,               0.000845,               0.000845,               0.000845
                     37,                0.70302,                0.41928,                 1.2489,                0.96027,                0.97094,                0.96172,                0.82015,                0.60573,                0.40169,                 1.0373,               0.000812,               0.000812,               0.000812
                     38,                0.70868,                0.41484,                 1.2495,                0.95996,                0.97323,                0.96534,                0.82976,                0.59608,                0.37007,                 1.0311,               0.000779,               0.000779,               0.000779
                     39,                 0.6967,                 0.4178,                 1.2408,                0.95835,                0.97694,                0.96478,                0.81433,                0.64058,                0.38877,                 1.0889,               0.000746,               0.000746,               0.000746
                     40,                0.70411,                0.41873,                 1.2458,                0.95828,                0.97462,                0.96678,                0.81642,                  0.641,                0.36281,                 1.0777,               0.000713,               0.000713,               0.000713
                     41,                 0.6966,                0.41204,                 1.2461,                0.95934,                 0.9794,                0.96541,                0.82796,                0.60864,                0.36264,                  1.041,                0.00068,                0.00068,                0.00068
                     42,                 0.6888,                0.41399,                 1.2362,                0.95728,                0.97878,                0.96376,                0.83526,                0.59171,                0.37281,                 1.0326,               0.000647,               0.000647,               0.000647
                     43,                0.67888,                0.39716,                 1.2323,                0.95891,                0.97952,                0.96337,                0.83452,                0.59156,                 0.3679,                 1.0252,               0.000614,               0.000614,               0.000614
                     44,                0.68372,                0.40359,                 1.2325,                0.96158,                0.97924,                0.96464,                0.82835,                0.60893,                0.37389,                 1.0218,               0.000581,               0.000581,               0.000581
                     45,                0.68657,                0.40881,                 1.2297,                 0.9583,                0.97786,                0.96107,                0.80908,                0.65969,                0.38681,                 1.0541,               0.000548,               0.000548,               0.000548
                     46,                0.68388,                0.40596,                 1.2355,                0.95624,                0.98293,                0.96124,                0.82679,                0.59568,                 0.3693,                   1.02,               0.000515,               0.000515,               0.000515
                     47,                0.67452,                 0.4056,                 1.2293,                0.96317,                0.97702,                0.96594,                0.81922,                0.62146,                0.35819,                 1.0849,               0.000482,               0.000482,               0.000482
                     48,                0.66443,                0.39951,                 1.2319,                0.96116,                0.98166,                0.97141,                0.83981,                0.58298,                0.35196,                 1.0369,               0.000449,               0.000449,               0.000449
                     49,                0.67054,                0.39565,                 1.2244,                0.96031,                0.98208,                0.96737,                0.84034,                0.57874,                0.35125,                 1.0231,               0.000416,               0.000416,               0.000416
                     50,                0.53802,                 0.3339,                 1.0943,                  0.959,                0.98172,                0.96322,                0.83239,                0.58167,                0.37059,                 1.0103,               0.000383,               0.000383,               0.000383
                     51,                0.52197,                0.31749,                 1.0712,                0.96289,                0.98017,                0.96487,                0.84229,                0.57266,                0.34052,                 1.0048,                0.00035,                0.00035,                0.00035
                     52,                0.51536,                0.31149,                 1.0761,                0.95904,                0.98478,                0.96577,                0.84211,                 0.5627,                0.34059,                  1.006,               0.000317,               0.000317,               0.000317
                     53,                 0.5017,                0.30578,                 1.0691,                  0.962,                0.98085,                0.96616,                0.84459,                0.57138,                0.33448,                 1.0059,               0.000284,               0.000284,               0.000284
                     54,                0.50851,                0.30753,                 1.0717,                0.96032,                0.98239,                0.96816,                0.84327,                0.56391,                0.33745,                0.99606,               0.000251,               0.000251,               0.000251
                     55,                0.50362,                0.30134,                 1.0681,                0.96049,                0.98683,                0.96973,                0.84844,                0.55941,                0.32437,                0.99713,               0.000218,               0.000218,               0.000218
                     56,                0.49033,                0.29596,                 1.0677,                0.96244,                0.98339,                0.96885,                0.85223,                0.55208,                0.32777,                 1.0065,               0.000185,               0.000185,               0.000185
                     57,                0.48031,                0.28904,                 1.0518,                 0.9602,                0.98801,                0.96619,                0.85264,                0.53907,                0.32783,                0.98794,               0.000152,               0.000152,               0.000152
                     58,                0.47984,                0.28861,                 1.0533,                0.96271,                0.98524,                0.96703,                0.85388,                0.53857,                0.32902,                0.98564,               0.000119,               0.000119,               0.000119
                     59,                0.47744,                0.28541,                 1.0461,                0.96149,                0.98708,                0.96582,                0.85603,                0.53278,                0.32684,                0.98401,                8.6e-05,                8.6e-05,                8.6e-05
